ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
81,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1019,ตลิ่งชัน,Taling Chan,101905,บางระมาด,Bang Ramat,10170
82,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1019,ตลิ่งชัน,Taling Chan,101907,บางเชือกหนัง,Bang Chueak Nang,10170
83,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1020,บางกอกน้อย,Bangkok Noi,102004,ศิริราช,Sirirat,10700
84,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1020,บางกอกน้อย,Bangkok Noi,102005,บ้านช่างหล่อ,Ban Chang Lo,10700
85,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1020,บางกอกน้อย,Bangkok Noi,102006,บางขุนนนท์,Bang Khun Non,10700
86,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1020,บางกอกน้อย,Bangkok Noi,102007,บางขุนศรี,Bang Khun Si,10700
87,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1020,บางกอกน้อย,Bangkok Noi,102009,อรุณอมรินทร์,Arun Ammarin,10700
88,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1021,บางขุนเทียน,Bang Khun Thian,102105,ท่าข้าม,Tha Kham,10150
89,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1021,บางขุนเทียน,Bang Khun Thian,102107,แสมดำ,Samae Dam,10150
90,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1022,ภาษีเจริญ,Phasi Charoen,102201,บางหว้า,Bang Wa,10160
