ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
5191,ภาคกลาง,61,อุทัยธานี,Uthai Thani,6108,ห้วยคต,Huai Khot,610803,ห้วยคต,Huai Khot,61170
5192,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620101,ในเมือง,Nai Mueang,62000
5193,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620102,ไตรตรึงษ์,Trai Trueng,62160
5194,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620103,อ่างทอง,Ang Thong,62000
5195,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620104,นาบ่อคำ,Na Bo Kham,62000
5196,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620105,นครชุม,Nakhon Chum,62000
5197,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620106,ทรงธรรม,Songtham,62000
5198,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620107,ลานดอกไม้,Lan Dokmai,62000
5199,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620110,หนองปลิง,Nong Pling,62000
5200,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620111,คณฑี,Kon Ti,62000
5201,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620112,นิคมทุ่งโพธิ์ทะเล,Nikhom Thung Pho Thale,62000
5202,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620113,เทพนคร,Thep Nakhon,62000
5203,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620114,วังทอง,Wang Thong,62000
5204,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620115,ท่าขุนราม,Tha Khun Ram,62000
5205,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620117,คลองแม่ลาย,Khlong Mae Lai,62000
5206,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620118,ธำมรงค์,Thammarong,62160
5207,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6201,เมืองกำแพงเพชร,Mueang Kamphaeng Phet,620119,สระแก้ว,Sa Kaeo,62000
5208,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6202,ไทรงาม,Sai Ngam,620201,ไทรงาม,Sai Ngam,62150
5209,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6202,ไทรงาม,Sai Ngam,620202,หนองคล้า,Nong Khla,62150
5210,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6202,ไทรงาม,Sai Ngam,620203,หนองทอง,Nong Thong,62150
5211,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6202,ไทรงาม,Sai Ngam,620204,หนองไม้กอง,Nong Mai Kong,62150
5212,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6202,ไทรงาม,Sai Ngam,620205,มหาชัย,Mahachai,62150
5213,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6202,ไทรงาม,Sai Ngam,620206,พานทอง,Phan Thong,62150
5214,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6202,ไทรงาม,Sai Ngam,620207,หนองแม่แตง,Nong Mae Taeng,62150
5215,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6203,คลองลาน,Khlong Lan,620301,คลองน้ำไหล,Khlong Nam Lai,62180
5216,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6203,คลองลาน,Khlong Lan,620302,โป่งน้ำร้อน,Pong Nam Ron,62180
5217,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6203,คลองลาน,Khlong Lan,620303,คลองลานพัฒนา,Khlong Lan Phatthana,62180
5218,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6203,คลองลาน,Khlong Lan,620304,สักงาม,Sak Ngam,62180
5219,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620403,ยางสูง,Yang Sung,62130
5220,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620404,ป่าพุทรา,Pa Phutsa,62130
5221,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620405,แสนตอ,Saen To,62130
5222,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620406,สลกบาตร,Salok Bat,62140
5223,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620407,บ่อถ้ำ,Bo Tham,62140
5224,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620408,ดอนแตง,Don Taeng,62140
5225,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620409,วังชะพลู,Wang Chaphlu,62140
5226,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620410,โค้งไผ่,Khong Phai,62140
5227,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620411,ปางมะค่า,Pang Makha,62140
5228,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620412,วังหามแห,Wang Ham Hae,62140
5229,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6204,ขาณุวรลักษบุรี,Khanu Woralaksaburi,620413,เกาะตาล,Ko Tan,62130
5230,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620501,คลองขลุง,Khlong Khlung,62120
5231,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620502,ท่ามะเขือ,Tha Makhuea,62120
5232,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620504,ท่าพุทรา,Tha Phutsa,62120
5233,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620505,แม่ลาด,Mae Lat,62120
5234,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620506,วังยาง,Wang Yang,62120
5235,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620507,วังแขม,Wang Khaem,62120
5236,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620508,หัวถนน,Hua Thanon,62120
5237,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620509,วังไทร,Wang Sai,62120
5238,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620513,วังบัว,Wang Bua,62120
5239,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6205,คลองขลุง,Khlong Khlung,620516,คลองสมบูรณ์,Khlong Sombun,62120
5240,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620601,พรานกระต่าย,Phran Kratai,62110
5241,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620602,หนองหัววัว,Nong Hua Wua,62110
5242,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620603,ท่าไม้,Tha Mai,62110
5243,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620604,วังควง,Wang Khuang,62110
5244,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620605,วังตะแบก,Wang Tabaek,62110
5245,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620606,เขาคีริส,Khao Khirit,62110
5246,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620607,คุยบ้านโอง,Khui Ban Ong,62110
5247,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620608,คลองพิไกร,Khlong Phikrai,62110
5248,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620609,ถ้ำกระต่ายทอง,Tham Kratai Thong,62110
5249,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6206,พรานกระต่าย,Phran Kratai,620610,ห้วยยั้ง,Huai Yang,62110
5250,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6207,ลานกระบือ,Lan Krabue,620701,ลานกระบือ,Lan Krabue,62170
5251,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6207,ลานกระบือ,Lan Krabue,620702,ช่องลม,Chong Lom,62170
5252,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6207,ลานกระบือ,Lan Krabue,620703,หนองหลวง,Nong Luang,62170
5253,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6207,ลานกระบือ,Lan Krabue,620704,โนนพลวง,Non Phluang,62170
5254,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6207,ลานกระบือ,Lan Krabue,620705,ประชาสุขสันต์,Pracha Suksan,62170
5255,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6207,ลานกระบือ,Lan Krabue,620706,บึงทับแรต,Bueng Thap Raet,62170
5256,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6207,ลานกระบือ,Lan Krabue,620707,จันทิมา,Chanthima,62170
5257,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6208,ทรายทองวัฒนา,Sai Thong Watthana,620801,ทุ่งทราย,Thung Sai,62190
5258,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6208,ทรายทองวัฒนา,Sai Thong Watthana,620802,ทุ่งทอง,Thung Thong,62190
5259,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6208,ทรายทองวัฒนา,Sai Thong Watthana,620803,ถาวรวัฒนา,Thawon Watthana,62190
5260,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6209,ปางศิลาทอง,Pang Sila Thong,620901,โพธิ์ทอง,Pho Thong,62120
5261,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6209,ปางศิลาทอง,Pang Sila Thong,620902,หินดาต,Hin Dat,62120
5262,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6209,ปางศิลาทอง,Pang Sila Thong,620903,ปางตาไว,Pang Ta Wai,62120
5263,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6210,บึงสามัคคี,Bueng Samakkhi,621001,บึงสามัคคี,Bueng Samakkhi,62210
5264,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6210,บึงสามัคคี,Bueng Samakkhi,621002,วังชะโอน,Wang Cha-On,62210
5265,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6210,บึงสามัคคี,Bueng Samakkhi,621003,ระหาน,Rahan,62210
5266,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6210,บึงสามัคคี,Bueng Samakkhi,621004,เทพนิมิต,Thep Nimit,62210
5267,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6211,โกสัมพีนคร,Kosamphi Nakhon,621101,โกสัมพี,Kosamphi,62000
5268,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6211,โกสัมพีนคร,Kosamphi Nakhon,621102,เพชรชมภู,Phet Chomphu,62000
5269,ภาคกลาง,62,กำแพงเพชร,Kamphaeng Phet,6211,โกสัมพีนคร,Kosamphi Nakhon,621103,ลานดอกไม้ตก,Lan Dokmai Tok,62000
5270,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630101,ระแหง,Rahaeng,63000
5271,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630102,หนองหลวง,Nong Luang,63000
5272,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630103,เชียงเงิน,Chiang Ngoen,63000
5273,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630104,หัวเดียด,Hua Diat,63000
5274,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630105,หนองบัวเหนือ,Nong Bua Nuea,63000
5275,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630106,ไม้งาม,Mai Ngam,63000
5276,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630107,โป่งแดง,Pong Daeng,63000
5277,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630108,น้ำรึม,Nam Ruem,63000
5278,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630109,วังหิน,Wang Hin,63000
5279,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630111,แม่ท้อ,Mae Tho,63000
5280,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630112,ป่ามะม่วง,Pa Mamuang,63000
5281,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630113,หนองบัวใต้,Nong Bua Tai,63000
5282,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630114,วังประจบ,Wang Prachop,63000
5283,ภาคตะวันตก,63,ตาก,Tak,6301,เมืองตาก,Mueang Tak,630115,ตลุกกลางทุ่ง,Taluk Klang Thung,63000
5284,ภาคตะวันตก,63,ตาก,Tak,6302,บ้านตาก,Ban Tak,630201,ตากออก,Tak Ok,63120
5285,ภาคตะวันตก,63,ตาก,Tak,6302,บ้านตาก,Ban Tak,630202,สมอโคน,Samo Khon,63120
5286,ภาคตะวันตก,63,ตาก,Tak,6302,บ้านตาก,Ban Tak,630203,แม่สลิด,Mae Salit,63120
5287,ภาคตะวันตก,63,ตาก,Tak,6302,บ้านตาก,Ban Tak,630204,ตากตก,Tak Tok,63120
5288,ภาคตะวันตก,63,ตาก,Tak,6302,บ้านตาก,Ban Tak,630205,เกาะตะเภา,Ko Taphao,63120
5289,ภาคตะวันตก,63,ตาก,Tak,6302,บ้านตาก,Ban Tak,630206,ทุ่งกระเชาะ,Thung Kracho,63120
5290,ภาคตะวันตก,63,ตาก,Tak,6302,บ้านตาก,Ban Tak,630207,ท้องฟ้า,Thong Fa,63120
5291,ภาคตะวันตก,63,ตาก,Tak,6303,สามเงา,Sam Ngao,630301,สามเงา,Sam Ngao,63130
5292,ภาคตะวันตก,63,ตาก,Tak,6303,สามเงา,Sam Ngao,630302,วังหมัน,Wang Man,63130
5293,ภาคตะวันตก,63,ตาก,Tak,6303,สามเงา,Sam Ngao,630303,ยกกระบัตร,Yok Krabat,63130
5294,ภาคตะวันตก,63,ตาก,Tak,6303,สามเงา,Sam Ngao,630304,ย่านรี,Yan Ri,63130
5295,ภาคตะวันตก,63,ตาก,Tak,6303,สามเงา,Sam Ngao,630305,บ้านนา,Ban Na,63130
5296,ภาคตะวันตก,63,ตาก,Tak,6303,สามเงา,Sam Ngao,630306,วังจันทร์,Wang Chan,63130
5297,ภาคตะวันตก,63,ตาก,Tak,6304,แม่ระมาด,Mae Ramat,630401,แม่ระมาด,Mae Ramat,63140
5298,ภาคตะวันตก,63,ตาก,Tak,6304,แม่ระมาด,Mae Ramat,630402,แม่จะเรา,Mae Charao,63140
5299,ภาคตะวันตก,63,ตาก,Tak,6304,แม่ระมาด,Mae Ramat,630403,ขะเนจื้อ,Khane Chue,63140
5300,ภาคตะวันตก,63,ตาก,Tak,6304,แม่ระมาด,Mae Ramat,630404,แม่ตื่น,Mae Tuen,63140
5301,ภาคตะวันตก,63,ตาก,Tak,6304,แม่ระมาด,Mae Ramat,630405,สามหมื่น,Sam Muen,63140
5302,ภาคตะวันตก,63,ตาก,Tak,6304,แม่ระมาด,Mae Ramat,630406,พระธาตุ,Phrathat,63140
5303,ภาคตะวันตก,63,ตาก,Tak,6305,ท่าสองยาง,Tha Song Yang,630501,ท่าสองยาง,Tha Song Yang,63150
5304,ภาคตะวันตก,63,ตาก,Tak,6305,ท่าสองยาง,Tha Song Yang,630502,แม่ต้าน,Mae Tan,63150
5305,ภาคตะวันตก,63,ตาก,Tak,6305,ท่าสองยาง,Tha Song Yang,630503,แม่สอง,Mae Song,63150
5306,ภาคตะวันตก,63,ตาก,Tak,6305,ท่าสองยาง,Tha Song Yang,630504,แม่หละ,Mae La,63150
5307,ภาคตะวันตก,63,ตาก,Tak,6305,ท่าสองยาง,Tha Song Yang,630505,แม่วะหลวง,Mae Wa Luang,63150
5308,ภาคตะวันตก,63,ตาก,Tak,6305,ท่าสองยาง,Tha Song Yang,630506,แม่อุสุ,Mae Usu,63150
5309,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630601,แม่สอด,Mae Sot,63110
5310,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630602,แม่กุ,Mae Ku,63110
5311,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630603,พะวอ,Phawo,63110
5312,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630604,แม่ตาว,Mae Tao,63110
5313,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630605,แม่กาษา,Mae Kasa,63110
5314,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630606,ท่าสายลวด,Tha Sai Luat,63110
5315,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630607,แม่ปะ,Mae Pa,63110
5316,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630608,มหาวัน,Mahawan,63110
5317,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630609,ด่านแม่ละเมา,Dan Mae Lamao,63110
5318,ภาคตะวันตก,63,ตาก,Tak,6306,แม่สอด,Mae Sot,630610,พระธาตุผาแดง,Phrathat Pha Daeng,63110
5319,ภาคตะวันตก,63,ตาก,Tak,6307,พบพระ,Phop Phra,630701,พบพระ,Phop Phra,63160
5320,ภาคตะวันตก,63,ตาก,Tak,6307,พบพระ,Phop Phra,630702,ช่องแคบ,Chong Khaep,63160
5321,ภาคตะวันตก,63,ตาก,Tak,6307,พบพระ,Phop Phra,630703,คีรีราษฎร์,Khiri Rat,63160
5322,ภาคตะวันตก,63,ตาก,Tak,6307,พบพระ,Phop Phra,630704,วาเล่ย์,Wale,63160
5323,ภาคตะวันตก,63,ตาก,Tak,6307,พบพระ,Phop Phra,630705,รวมไทยพัฒนา,Ruam Thai Phatthana,63160
5324,ภาคตะวันตก,63,ตาก,Tak,6308,อุ้มผาง,Um Phang,630801,อุ้มผาง,Um Phang,63170
5325,ภาคตะวันตก,63,ตาก,Tak,6308,อุ้มผาง,Um Phang,630802,หนองหลวง,Nong Luang,63170
5326,ภาคตะวันตก,63,ตาก,Tak,6308,อุ้มผาง,Um Phang,630803,โมโกร,Mo Kro,63170
5327,ภาคตะวันตก,63,ตาก,Tak,6308,อุ้มผาง,Um Phang,630804,แม่จัน,Mae Chan,63170
5328,ภาคตะวันตก,63,ตาก,Tak,6308,อุ้มผาง,Um Phang,630805,แม่ละมุ้ง,Mae Lamung,63170
5329,ภาคตะวันตก,63,ตาก,Tak,6308,อุ้มผาง,Um Phang,630806,แม่กลอง,Mae Klong,63170
5330,ภาคตะวันตก,63,ตาก,Tak,6309,วังเจ้า,Wang Chao,630901,เชียงทอง,Chiang Thong,63000
5331,ภาคตะวันตก,63,ตาก,Tak,6309,วังเจ้า,Wang Chao,630902,นาโบสถ์,Na Bot,63000
5332,ภาคตะวันตก,63,ตาก,Tak,6309,วังเจ้า,Wang Chao,630903,ประดาง,Pradang,63000
5333,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640101,ธานี,Thani,64000
5334,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640102,บ้านสวน,Ban Suan,64220
5335,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640103,เมืองเก่า,Mueang Kao,64210
5336,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640104,ปากแคว,Pak Khwae,64000
5337,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640105,ยางซ้าย,Yang Sai,64000
5338,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640106,บ้านกล้วย,Ban Kluai,64000
5339,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640107,บ้านหลุม,Ban Lum,64000
5340,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640108,ตาลเตี้ย,Tan Tia,64220
5341,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640109,ปากพระ,Pak Phra,64000
5342,ภาคกลาง,64,สุโขทัย,Sukhothai,6401,เมืองสุโขทัย,Mueang Sukhothai,640110,วังทองแดง,Wang Thong Daeng,64210
5343,ภาคกลาง,64,สุโขทัย,Sukhothai,6402,บ้านด่านลานหอย,Ban Dan Lan Hoi,640201,ลานหอย,Lan Hoi,64140
5344,ภาคกลาง,64,สุโขทัย,Sukhothai,6402,บ้านด่านลานหอย,Ban Dan Lan Hoi,640202,บ้านด่าน,Ban Dan,64140
5345,ภาคกลาง,64,สุโขทัย,Sukhothai,6402,บ้านด่านลานหอย,Ban Dan Lan Hoi,640203,วังตะคร้อ,Wang Takhro,64140
5346,ภาคกลาง,64,สุโขทัย,Sukhothai,6402,บ้านด่านลานหอย,Ban Dan Lan Hoi,640204,วังน้ำขาว,Wang Nam Khao,64140
5347,ภาคกลาง,64,สุโขทัย,Sukhothai,6402,บ้านด่านลานหอย,Ban Dan Lan Hoi,640205,ตลิ่งชัน,Taling Chan,64140
5348,ภาคกลาง,64,สุโขทัย,Sukhothai,6402,บ้านด่านลานหอย,Ban Dan Lan Hoi,640206,หนองหญ้าปล้อง,Nong Ya Plong,64140
5349,ภาคกลาง,64,สุโขทัย,Sukhothai,6402,บ้านด่านลานหอย,Ban Dan Lan Hoi,640207,วังลึก,Wang Luek,64140
5350,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640301,โตนด,Tanot,64160
5351,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640302,ทุ่งหลวง,Thung Luang,64160
5352,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640303,บ้านป้อม,Ban Pom,64160
5353,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640304,สามพวง,Sam Phuang,64160
5354,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640305,ศรีคีรีมาศ,Si Khiri Mat,64160
5355,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640306,หนองจิก,Nong Chik,64160
5356,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640307,นาเชิงคีรี,Na Choeng Khiri,64160
5357,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640308,หนองกระดิ่ง,Nong Krading,64160
5358,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640309,บ้านน้ำพุ,Ban Namphu,64160
5359,ภาคกลาง,64,สุโขทัย,Sukhothai,6403,คีรีมาศ,Khiri Mat,640310,ทุ่งยางเมือง,Thung Yang Mueang,64160
5360,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640401,กง,Kong,64170
5361,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640402,บ้านกร่าง,Ban Krang,64170
5362,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640403,ไกรนอก,Krai Nok,64170
5363,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640404,ไกรกลาง,Krai Klang,64170
5364,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640405,ไกรใน,Krai Nai,64170
5365,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640406,ดงเดือย,Dong Dueai,64170
5366,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640407,ป่าแฝก,Pa Faek,64170
5367,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640408,กกแรต,Kok Raet,64170
5368,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640409,ท่าฉนวน,Tha Chanuan,64170
5369,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640410,หนองตูม,Nong Tum,64170
5370,ภาคกลาง,64,สุโขทัย,Sukhothai,6404,กงไกรลาศ,Kong Krailat,640411,บ้านใหม่สุขเกษม,Ban Mai Suk Kasem,64170
5371,ภาคกลาง,64,สุโขทัย,Sukhothai,6405,ศรีสัชนาลัย,Si Satchanalai,640501,หาดเสี้ยว,Hat Siao,64130
5372,ภาคกลาง,64,สุโขทัย,Sukhothai,6405,ศรีสัชนาลัย,Si Satchanalai,640502,ป่างิ้ว,Pa Ngio,64130
5373,ภาคกลาง,64,สุโขทัย,Sukhothai,6405,ศรีสัชนาลัย,Si Satchanalai,640503,แม่สำ,Mae Sam,64130
